Country Name	Country Code	Series Name	Series Code	2012 [YR2012]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]
China	CHN	Access to electricity (% of population)	EG.ELC.ACCS.ZS	99.91638184	99.98311615	99.99848938	100	100
China	CHN	"Adolescent fertility rate (births per 1,000 women ages 15-19)"	SP.ADO.TFRT	6.88	6.7856	6.6912	6.5968	6.5024
China	CHN	Age dependency ratio (% of working-age population)	SP.POP.DPND	35.94391081	36.38525167	36.96849343	37.66849215	38.54914605
China	CHN	"Agriculture, value added (% of GDP)"	NV.AGR.TOTL.ZS	9.419936158	9.295189652	9.059922416	8.832724007	8.562942661
China	CHN	"Agriculture, value added (annual % growth)"	NV.AGR.TOTL.KD.ZG	4.475164011	3.812514017	4.061352344	3.902844094	3.3
China	CHN	"Agriculture, value added (constant 2005 US$)"	NV.AGR.TOTL.KD	6.32772E+11	6.56896E+11	6.83575E+11	7.10254E+11	7.33693E+11
China	CHN	"Air transport, registered carrier departures worldwide"	IS.AIR.DPRT	2779741	3073450	3356756	3616026	3952098
China	CHN	"Automated teller machines (ATMs) (per 100,000 adults)"	FB.ATM.TOTL.P5	37.36007917	46.52417309	54.7506121	76.78763954	81.45147902
China	CHN	"Borrowers from commercial banks (per 1,000 adults)"	FB.CBK.BRWR.P3	270.6036993	291.2596685	316.2814257	344.4405087	383.7035398
China	CHN	Consumer price index (2010 = 100)	FP.CPI.TOTL	108.318909	111.1580007	113.2940611	114.9221246	117.220567
China	CHN	"Contributing family workers, female (% of female employment) (modeled ILO estimate)"	SL.FAM.WORK.FE.ZS	16.44799995	15.43200016	14.51200008	14.00599957	13.32999992
China	CHN	"Contributing family workers, male (% of male employment) (modeled ILO estimate)"	SL.FAM.WORK.MA.ZS	4.741000175	4.482999802	4.236000061	4.032999992	3.836999893
China	CHN	"Contributing family workers, total (% of total employment) (modeled ILO estimate)"	SL.FAM.WORK.ZS	9.916000366	9.321000099	8.772999763	8.430999756	8.015000343
China	CHN	CPIA economic management cluster average (1=low to 6=high)	IQ.CPA.ECON.XQ	..	..	..	..	..
China	CHN	CPIA financial sector rating (1=low to 6=high)	IQ.CPA.FINS.XQ	..	..	..	..	..
China	CHN	CPIA gender equality rating (1=low to 6=high)	IQ.CPA.GNDR.XQ	..	..	..	..	..
China	CHN	CPIA macroeconomic management rating (1=low to 6=high)	IQ.CPA.MACR.XQ	..	..	..	..	..
China	CHN	CPIA policies for social inclusion/equity cluster average (1=low to 6=high)	IQ.CPA.SOCI.XQ	..	..	..	..	..
China	CHN	CPIA property rights and rule-based governance rating (1=low to 6=high)	IQ.CPA.PROP.XQ	..	..	..	..	..
China	CHN	CPIA social protection rating (1=low to 6=high)	IQ.CPA.PROT.XQ	..	..	..	..	..
China	CHN	Depth of credit information index (0=low to 8=high)	IC.CRD.INFO.XQ	..	6	6	6	8
China	CHN	Domestic credit provided by financial sector (% of GDP)	FS.AST.DOMS.GD.ZS	149.082586	155.7355255	167.2368911	193.4095802	215.1826806
