Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,"Population ages 15-64, total",SP.POP.1564.TO,15041825,15743957,16519810,17322057,18116800,18826642,19514114,20193861,20889463,..
Afghanistan,AFG,"Labor force, total",SL.TLF.TOTL.IN,7499332,7891605,8307325,8741565,9176450,9566712,9947922,10334090,10699797,11082536
Afghanistan,AFG,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,528.736648057768,576.190125450699,587.565090150176,583.656192833121,574.184114271258,571.073774523561,571.542505760778,568.342871125336,571.466641151464,..
Afghanistan,AFG,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,84.2918014526367,..,..,64.6766967773438,..,..,..
Afghanistan,AFG,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,63.146800994873,..,..,51.5525016784668,..,..,..
Afghanistan,AFG,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,48.2943992614746,..,..,51.2011985778809,..,..,..
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,31.4488506317139,..,..,..,..,..,..,43.019718170166,..,..
Albania,ALB,"Population ages 15-64, total",SP.POP.1564.TO,1961405,1972618,1979460,1981897,1979179,1974734,1972416,1965829,1952204,..
Albania,ALB,"Labor force, total",SL.TLF.TOTL.IN,1255187,1286424,1213692,1235799,1289562,1302836,1316869,1318022,1313923,1311392
Albania,ALB,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4209.87480089435,4276.60790388367,4327.37995998728,4413.29689127908,4524.3730858712,4681.82656299267,4864.3106163045,5074.85722194352,5209.36283189526,..
Albania,ALB,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,74.5169982910156,73.0643005371094,73.4274978637695,74.3812026977539,73.2714004516602,74.1250991821289,73.2248992919922,62.1244010925293,62.7015991210938,..
Albania,ALB,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,66.5497970581055,63.1622009277344,58.9370994567871,59.0845985412598,59.9664993286133,62.2783012390137,63.0316009521484,58.9296989440918,59.9029006958008,..
Albania,ALB,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,55.3595008850098,52.6262016296387,46.4828987121582,47.0654983520508,49.3714981079102,51.2668991088867,52.0491981506348,24.281099319458,23.9542007446289,..
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,96.8452987670898,97.2469711303711,..,..,..,..,..,98.1411514282227,..,..
Algeria,DZA,"Population ages 15-64, total",SP.POP.1564.TO,24569857,24959495,25342749,25690645,25993588,26300654,26564914,26810333,27079012,..
Algeria,DZA,"Labor force, total",SL.TLF.TOTL.IN,11294110,11533225,12002172,11585753,11742189,11904866,12051687,12173459,12303926,12427930
Algeria,DZA,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,4524.72027613238,4588.14765577383,4623.09442770872,4702.17012401875,4777.42733649206,4830.19726628058,4793.94665710645,4764.45509960918,4710.58377249415,..
Algeria,DZA,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,81.4078369140625,..,..
American Samoa,ASM,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2010 US$),NY.GDP.PCAP.KD,10360.5091546826,9921.80610804858,9640.34446203249,9717.82905631836,9850.56503409338,9589.9798367323,9048.18252237097,9271.71200951825,..,..
American Samoa,ASM,Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Population ages 15-64, total",SP.POP.1564.TO,..,..,..,..,..,..,..,..,..,..
